"search-number","evaluation","memory*","nchpercent*","trustindexmean*","initialexperience*","carepatchmean*","carefarmermean*","careothersmean*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","17","0.6900000000000001","0.8200000000000001","6.7","0.68","0.15","0.1","10","0.31877559707892067","10","0.3297042605692741"
"1","20","11","0.49","0.76","7.1","0.37","0.75","0.04","10","0.36387730912325866","10","0.36828432338752015"
"1","60","22","0.4","0.52","7.6","0.47000000000000003","0.9","0.51","10","0.3953688718723466","10","0.38400180308128956"
"1","190","27","0.61","0.61","8.1","0.6","0.04","0.55","10","0.4197093310727503","10","0.39087473933355493"
"1","260","27","0.55","0.55","7.7","0.34","0.05","0.97","10","0.4215389830746835","10","0.3574651538345596"
"1","380","29","0.34","0.54","5.4","0.24","0.33","0.23","10","0.42689512289129183","10","0.37762047852726793"
"1","420","14","0.65","0.61","9.7","0.16","0.01","0.09","10","0.45137309591215324","10","0.4682794427690654"
"1","590","27","0.61","0.5700000000000001","8.5","0.3","0.08","0.26","10","0.45186024946928177","10","0.4395170389232973"
"1","810","18","0.55","0.61","9.8","0.16","0.01","0.09","10","0.45247129568000977","10","0.45844581392422673"
"1","970","27","0.61","0.5700000000000001","8.5","0.8200000000000001","0.08","0.21","10","0.46543139609551154","10","0.461714659419347"
"2","10","11","0.46","0.97","9.3","0.97","0.38","0.97","10","0.1966864111596454","10","0.20899825397248453"
"2","30","5","0.86","0.93","6.2","0","0.6","0.14","10","0.20249636916515193","10","0.2319966011690028"
"2","40","8","1","0.3","6.2","0.78","0.41000000000000003","0.09","10","0.28084919826437094","10","0.2656232359589722"
"2","50","19","0","0.71","9.3","0.8300000000000001","0.67","0.52","10","0.3925293909265834","10","0.37217244909049135"
"2","320","15","0.9","0.51","5","0.65","0.55","0.8","10","0.3927305529306575","10","0.371248466203823"
"2","340","9","0.55","0.66","7.4","0.76","0.18","0.84","10","0.415301518701944","10","0.4008797817365409"
"2","450","21","0.35000000000000003","0.7000000000000001","7.5","0.63","0.04","0.9500000000000001","10","0.4185607524881304","10","0.39128139051581445"
"2","500","22","0.58","0.54","6.4","0.96","0.52","0.59","10","0.44743128913900077","10","0.4369361020320735"
"3","10","14","0.78","0.71","9.3","0.37","0.74","0.81","10","0.35346109487249094","10","0.3900298183876395"
"3","70","17","0.75","0.59","6.5","0.04","0.04","0.92","10","0.3957000584124001","10","0.4173584106306805"
"3","180","18","0.62","0.5","8","0.71","0.79","0.81","10","0.406976559722753","10","0.40954367948959325"
"3","230","21","0.41000000000000003","0.56","7.800000000000001","0.33","0.3","0.28","10","0.42982446738667973","10","0.4298828621544815"
"3","800","18","0.3","0.6","9.3","0.43","0.5","0.9","10","0.43067007940525565","10","0.3986472202636706"
"3","1000","23","0.3","0.6","9.3","0.44","0.53","0.59","10","0.4331618787343321","10","0.3700466232029914"
"3","1100","23","0.67","0.64","7.300000000000001","1","0.38","0.01","10","0.44895229538786097","10","0.4215268124274246"
"4","10","5","0.81","0.6","8.9","0.47000000000000003","0.86","0.85","10","0.4257725665962262","10","0.4001890889544738"
"4","100","9","0.9500000000000001","0.5","8.1","0.99","0.02","0.22","10","0.46319272814971824","10","0.4284086686585651"
"5","10","14","0.33","0.9500000000000001","8.1","0.38","0.11","0.64","10","0.1889450272533619","10","0.19287145700182082"
"5","20","12","0.89","0.8300000000000001","8.5","0.6900000000000001","0.19","0.2","10","0.33546643381671687","10","0.337809205135511"
"5","40","21","0.55","0.74","9.3","0.97","0.59","0.31","10","0.3723871125398431","10","0.36886707716788314"
"5","50","20","0.04","0.72","7.4","0.39","0.04","0.25","10","0.3787989134121857","10","0.34072809087139877"
"5","70","5","0.51","0.56","7.7","0.23","0.56","0.6900000000000001","10","0.4241204690822739","10","0.39447961211878235"
"5","210","27","0.62","0.59","7","0.02","0.84","0.41000000000000003","10","0.4298909805304473","10","0.40823261168585406"
"5","230","9","0.81","0.63","8.4","0.31","0.07","0.96","10","0.4315502559059423","10","0.383946719759463"
"5","350","12","0.21","0.54","9.8","0.76","0.9400000000000001","0.04","10","0.4338345306720776","10","0.3933225589495024"
"5","680","28","0.62","0.59","7","0.02","0.84","0.41000000000000003","10","0.43566559451792497","10","0.407072420973514"
"6","10","14","0.97","0.49","9.8","0.25","0.93","0.97","10","0.39829891574862286","10","0.3869917986541104"
"6","200","18","0.68","0.55","9.3","0.27","0.42","0.86","10","0.42911790215066964","10","0.4150575769308763"
"6","230","9","0.79","0.52","6.4","0.63","0.71","0.35000000000000003","10","0.43386636943769313","10","0.4042774532010789"
"6","630","23","0.67","0.61","6","0.23","0.86","0.5","10","0.4400298326143462","10","0.4312617704986538"
"6","1430","20","0.87","0.68","7.9","0.6900000000000001","0.04","0","10","0.45195786141136","10","0.4450726149420203"
"7","10","14","0.78","0.35000000000000003","6.2","0.8200000000000001","0.92","0.14","10","0.3437800352947199","10","0.3039408638555335"
"7","20","25","0.79","0.8200000000000001","6.6","0.86","0.19","0.35000000000000003","10","0.35212801191131876","10","0.3320545416232858"
"7","70","18","0.98","0.64","9.3","0.23","0.16","0.8300000000000001","10","0.3943557733348772","10","0.37247819598660387"
"7","100","14","0.55","0.67","7.4","0.87","0.71","0.03","10","0.40220749245364906","10","0.43075963354572827"
"7","250","8","0.33","0.6","5.9","0.97","0.23","0.96","10","0.4274624214107784","10","0.41355356416787686"
"7","430","13","0.56","0.58","8.2","0.76","0.52","0.09","10","0.4520890640974179","10","0.40881639106707085"
"7","570","12","0.6900000000000001","0.62","8.1","0.86","0.3","0.35000000000000003","10","0.45457233782916423","10","0.4197062105236532"
"7","1090","13","0.68","0.62","9.4","0.9500000000000001","0.71","0.02","10","0.4546642141681513","10","0.4200506406994461"
"7","1120","30","0.22","0.56","8.8","0.86","0.07","0.27","10","0.47101486707406337","10","0.4667733992203559"
"8","10","21","0.52","0.32","5.9","0.31","0.33","0.24","10","0.2986815378144895","10","0.3018282122633775"
"8","20","24","0.43","0.41000000000000003","5.8","0.34","0.89","0.65","10","0.312249457268175","10","0.32910609830092075"
"8","60","19","0.1","0.74","6.6","0.34","0.42","0.64","10","0.3585204910442719","10","0.34807990050983656"
"8","100","9","0.12","0.67","8.6","0.42","0.19","0.9","10","0.403024058601506","10","0.3909493865788128"
"8","160","9","0.67","0.5","9.3","0.09","0.37","0.97","10","0.41408407238339306","10","0.39235341681738867"
"8","310","5","0.71","0.54","9.2","0.32","0.89","0.99","10","0.421051302227158","10","0.3854246662614515"
"8","610","22","0.61","0.51","9.600000000000001","0.38","0.12","0.15","10","0.45472013533468225","10","0.42584854602106625"
"9","10","22","0.53","0.5700000000000001","5.5","0.79","0.99","0.08","10","0.4158799832802149","10","0.3910150792116678"
"9","100","6","0.27","0.56","7.300000000000001","0.8","0.01","0.64","10","0.4334323167918009","10","0.39970286266021904"
