"search-number","evaluation","memory*","nchpercent*","trustindexmean*","initialexperience*","carepatchmean*","carefarmermean*","careothersmean*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","10","17","0.6900000000000001","0.8200000000000001","6.7","0.68","0.15","0.1","0.31877559707892067","10","0.31877559707892067","0.3297042605692741"
"1","20","11","0.49","0.76","7.1","0.37","0.75","0.04","0.36387730912325866","10","0.36387730912325866","0.36828432338752015"
"1","30","9","0.2","0.5","5.7","0.11","0.04","0.71","0.34444278541371864","10","0.36387730912325866","0.36828432338752015"
"1","40","19","0.64","0.09","6.3","0.2","0.33","0.9","0.14138403360748258","10","0.36387730912325866","0.36828432338752015"
"1","50","5","0.3","0.27","6","0.76","0.39","0.64","0.2380898130921402","10","0.36387730912325866","0.36828432338752015"
"1","60","22","0.4","0.52","7.6","0.47000000000000003","0.9","0.51","0.3953688718723466","10","0.3953688718723466","0.38400180308128956"
"1","70","8","0.99","0.34","7.800000000000001","0.68","0.14","0.9400000000000001","0.2722376905641063","10","0.3953688718723466","0.38400180308128956"
"1","80","5","0.91","0.11","6.2","0.4","0.97","0.23","0.1306265669870005","10","0.3953688718723466","0.38400180308128956"
"1","90","30","0.37","0.66","6.1","0.2","0.07","0.26","0.35869825765850527","10","0.3953688718723466","0.38400180308128956"
"1","100","18","0.81","0.06","7","0.38","0.19","0.92","0.12041110812081394","10","0.3953688718723466","0.38400180308128956"
"1","110","14","0.64","0.86","8.9","0.45","0.3","0.8200000000000001","0.2828854065357869","10","0.3953688718723466","0.38400180308128956"
"1","120","7","0.59","0.37","10","0.22","0.47000000000000003","0.07","0.31557106830090986","10","0.3953688718723466","0.38400180308128956"
"1","130","23","0.13","0.39","8.6","0.43","0.44","0.08","0.31757996450466197","10","0.3953688718723466","0.38400180308128956"
"1","140","27","0.45","0.77","7.4","0.64","0.07","0.3","0.386805783283592","10","0.3953688718723466","0.38400180308128956"
"1","150","10","0.96","0","5.3","0.04","0.24","0.84","0.09626576734311047","10","0.3953688718723466","0.38400180308128956"
"1","160","9","0.54","0.36","9.5","0.34","0.16","0.99","0.3125318908754856","10","0.3953688718723466","0.38400180308128956"
"1","170","20","0.3","0.2","9.4","0","0.3","0.8300000000000001","0.19331171503464","10","0.3953688718723466","0.38400180308128956"
"1","180","14","0.92","0.35000000000000003","5.7","0.6900000000000001","0.93","0.23","0.29205568757337436","10","0.3953688718723466","0.38400180308128956"
"1","190","27","0.61","0.61","8.1","0.6","0.04","0.55","0.4197093310727503","10","0.4197093310727503","0.39087473933355493"
"1","200","13","0.9","0.06","7.800000000000001","0.49","0.45","0.52","0.11495708263121589","10","0.4197093310727503","0.39087473933355493"
"1","210","23","0.59","0.9500000000000001","7.4","0.89","0.96","0.75","0.19520176160446548","10","0.4197093310727503","0.39087473933355493"
"1","220","9","0.24","0.9500000000000001","6.2","0.05","0.9400000000000001","0.11","0.19542830299604463","10","0.4197093310727503","0.39087473933355493"
"1","230","5","0.79","0.22","7.6","0.8","0.79","0.53","0.23047572334151992","10","0.4197093310727503","0.39087473933355493"
"1","240","9","0.8","0.9400000000000001","8.8","0.9","0.2","0.56","0.21602809394489406","10","0.4197093310727503","0.39087473933355493"
"1","250","11","0.65","0.52","9.3","0.84","0.64","0.47000000000000003","0.40028922793518174","10","0.4197093310727503","0.39087473933355493"
"1","260","27","0.55","0.55","7.7","0.34","0.05","0.97","0.4215389830746835","10","0.4215389830746835","0.3574651538345596"
"1","270","13","0.89","0.73","9.3","0.67","0","0.21","0.3988964083387384","10","0.4215389830746835","0.3574651538345596"
"1","280","30","0.06","0.13","7.2","0.79","0.75","0.22","0.14300180723910177","10","0.4215389830746835","0.3574651538345596"
"1","290","15","0.49","0.6","7.9","0.9400000000000001","0.8200000000000001","0.26","0.3963720794530121","10","0.4215389830746835","0.3574651538345596"
"1","300","16","0.07","0.89","6","0.5","0.32","0.91","0.23048027190152118","10","0.4215389830746835","0.3574651538345596"
"1","310","14","0.96","0.96","9.3","0.13","0.26","0.85","0.17439170915710328","10","0.4215389830746835","0.3574651538345596"
"1","320","24","0.28","0.81","8.6","0.41000000000000003","0.76","0.31","0.329334097691114","10","0.4215389830746835","0.3574651538345596"
