"search-number","evaluation","memory*","nchpercent*","trustindexmean*","initialexperience*","carepatchmean*","carefarmermean*","careothersmean*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","17","0.6900000000000001","0.8200000000000001","6.7","0.68","0.15","0.1","10","0.2631691920841527","10","0.27307795349015435"
"1","20","11","0.49","0.76","7.1","0.37","0.75","0.04","10","0.32387334405254126","10","0.33194709388330407"
"1","60","22","0.4","0.52","7.6","0.47000000000000003","0.9","0.51","10","0.36096086027086216","10","0.3494109694863946"
"1","190","27","0.61","0.61","8.1","0.6","0.04","0.55","10","0.3666173758827115","10","0.33833596776838226"
"1","260","27","0.55","0.55","7.7","0.34","0.05","0.97","10","0.38439454224584246","10","0.31192693761295526"
"1","590","27","0.61","0.5700000000000001","8.5","0.3","0.08","0.26","10","0.4008636208283713","10","0.34136419195967155"
"2","10","11","0.46","0.97","9.3","0.97","0.38","0.97","10","0.14845584274493556","10","0.16199697749921133"
"2","30","5","0.86","0.93","6.2","0","0.6","0.14","10","0.16111459059323027","10","0.1905158117686114"
"2","40","8","1","0.3","6.2","0.78","0.41000000000000003","0.09","10","0.23385272914560953","10","0.21527377452741106"
"2","50","19","0","0.71","9.3","0.8300000000000001","0.67","0.52","10","0.3531438471577052","10","0.32769008154629076"
"2","320","15","0.9","0.51","5","0.65","0.55","0.8","10","0.36086320338299344","10","0.3341510690508765"
"2","340","9","0.55","0.66","7.4","0.76","0.18","0.84","10","0.370374498384193","10","0.3536805378257795"
"2","450","21","0.35000000000000003","0.7000000000000001","7.5","0.63","0.04","0.9500000000000001","10","0.3758244319387614","10","0.34427716383672974"
"2","500","22","0.58","0.54","6.4","0.96","0.52","0.59","10","0.40391775404197255","10","0.39268220417307476"
"3","10","14","0.78","0.71","9.3","0.37","0.74","0.81","10","0.3128201540822292","10","0.3481096214501454"
"3","70","17","0.75","0.59","6.5","0.04","0.04","0.92","10","0.35845780162930685","10","0.3767633415959515"
"3","180","18","0.62","0.5","8","0.71","0.79","0.81","10","0.3650882520492163","10","0.37024343995601"
"3","230","21","0.41000000000000003","0.56","7.800000000000001","0.33","0.3","0.28","10","0.3897635631405786","10","0.3926540674283947"
"3","800","18","0.3","0.6","9.3","0.43","0.5","0.9","10","0.4000027294973951","10","0.3641488691232573"
"3","1100","23","0.67","0.64","7.300000000000001","1","0.38","0.01","10","0.40507003230302735","10","0.341454400869922"
"4","10","5","0.81","0.6","8.9","0.47000000000000003","0.86","0.85","10","0.3928704550824664","10","0.3687011508457119"
"4","820","5","0.8","0.63","8.9","0.47000000000000003","0.86","0.85","10","0.40365234871077604","10","0.36700189452191717"
"5","10","14","0.33","0.9500000000000001","8.1","0.38","0.11","0.64","10","0.14228619474781032","10","0.14745447430810416"
"5","20","12","0.89","0.8300000000000001","8.5","0.6900000000000001","0.19","0.2","10","0.2793707740396515","10","0.27861537136653874"
"5","40","21","0.55","0.74","9.3","0.97","0.59","0.31","10","0.3276778476026147","10","0.3185651859907063"
"5","70","5","0.51","0.56","7.7","0.23","0.56","0.6900000000000001","10","0.39682798662140817","10","0.3585436891654442"
"5","230","9","0.81","0.63","8.4","0.31","0.07","0.96","10","0.3979186490508287","10","0.3605394916976927"
"6","10","14","0.97","0.49","9.8","0.25","0.93","0.97","10","0.3552638879183946","10","0.34631747707271826"
"6","40","23","0.32","0.56","9.8","0.7000000000000001","0.5700000000000001","0.96","10","0.35589559581749547","10","0.37733939135606487"
"6","200","18","0.68","0.55","9.3","0.27","0.42","0.86","10","0.3847912533138821","10","0.3710265974370177"
"6","230","9","0.79","0.52","6.4","0.63","0.71","0.35000000000000003","10","0.3985757764212856","10","0.3416236623831009"
