"search-number","evaluation","memory*","nchpercent*","trustindexmean*","initialexperience*","carepatchmean*","carefarmermean*","careothersmean*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","1370","27","0.61","0.5700000000000001","8.5","0.3","0.08","0.26","10","0.4008636208283713","10","0.34136419195967155"
"2","1460","22","0.58","0.54","6.4","0.96","0.52","0.59","10","0.40391775404197255","10","0.39268220417307476"
"3","1410","23","0.67","0.64","7.300000000000001","1","0.38","0.01","10","0.40507003230302735","10","0.341454400869922"
"4","1370","5","0.8","0.63","8.9","0.47000000000000003","0.86","0.85","10","0.40365234871077604","10","0.36700189452191717"
"5","1410","9","0.81","0.63","8.4","0.31","0.07","0.96","10","0.3979186490508287","10","0.3605394916976927"
"6","1440","23","0.67","0.61","6","0.23","0.86","0.5","10","0.40561022328714424","10","0.3962231303590774"
"7","1460","13","0.56","0.58","8.2","0.76","0.52","0.09","10","0.40779366028086805","10","0.3739897848984278"
"8","1420","22","0.3","0.6","9.7","0.75","0.7000000000000001","0.9","10","0.4021686321695371","10","0.3379844101878947"
"9","1390","27","0.01","0.55","7.7","0.97","0.28","0.08","10","0.3927683825332027","10","0.35385434745870115"
"10","1350","27","0.64","0.5700000000000001","6.3","0.22","0.38","0.53","10","0.40337893879208986","10","0.3522855448265718"
