,Coefficient,P-Value
Income Per Patch S,2.62569,p<0.001
Income Per Patch H,-0.11551,p<0.01
Income Per Patch SH,0.12794,p<0.05
Net Production Per Patch S,-2.36511,p<0.001
Net Production Per Patch H,-0.19485,p<0.001
Net Production Per Patch SH,0.33474,p<0.001
NCH Patches S,2.94495,p<0.001
NCH Patches H,0.03081,0.3241
NCH Patches SH,-0.09955,p<0.05
Non-HS Strategy Adoption S,2.49774,p<0.001
Non-HS Strategy Adoption H,0.69761,p<0.001
Non-HS Strategy Adoption SH,-1.09858,p<0.001
Yield Benefit Per NCH Cell S,0.17297,0.052
Yield Benefit Per NCH Cell H,-0.33271,p<0.001
Yield Benefit Per NCH Cell SH,0.44899,p<0.001
Scaled Income Deviation S,-1.53069,p<0.001
Scaled Income Deviation H,1.92734,p<0.001
Scaled Income Deviation SH,1.495,p<0.001
HS Patches S,-2.70361,p<0.001
HS Patches H,-0.06948,0.07522
HS Patches SH,0.00809,0.89814
