,Coefficient,P-Value
Income Per Patch S,2.88735,0.0
Income Per Patch F,1.10554,0.0
Income Per Patch FS,-0.57276,0.0
Net Production Per Patch S,-2.27216,0.0
Net Production Per Patch F,1.00134,0.0
Net Production Per Patch FS,0.06779,0.31378
NCH Patches (%) S,2.95836,0.0
NCH Patches (%) F,0.14954,0.0
NCH Patches (%) FS,-0.35679,0.0
Non-HS Strategy Adoption (%) S,1.19685,0.0
Non-HS Strategy Adoption (%) F,-1.2881,0.0
Non-HS Strategy Adoption (%) FS,2.54332,0.0
Yield Benefit Per NCH Cell S,0.16136,0.0
Yield Benefit Per NCH Cell F,0.66419,0.0
Yield Benefit Per NCH Cell FS,0.63449,0.0
Scaled Income Deviation S,-2.23347,0.0
Scaled Income Deviation F,-3.93647,0.0
Scaled Income Deviation FS,2.33431,0.0
HS Patches (%) S,-2.30216,0.0
HS Patches (%) F,0.91695,0.0
HS Patches (%) FS,-1.77972,0.0
