,Coefficient,P-value
subsidy,-0.4846595617428291,0.0
subsidy*initialExperience,-0.353344791571532,0.0
initialExperience,0.34709463788632705,0.0
carePatchMean,0.258135953753329,0.0
subsidy*carePatchMean,-0.16557217468780575,0.0
initialExperience*nchPercent,0.14765123086920612,0.0
carePatchMean*initialExperience,0.1386699954367155,0.0
careFarmerMean,-0.11715108283170632,0.0
nchPercent,-0.10728696031288044,0.0
careOthersMean,-0.07217512611817418,0.0
subsidy*nchPercent,-0.0672446960228374,0.0
careFarmerMean*initialExperience,-0.05434751175470353,0.0
subsidy*careFarmerMean,0.0543062098898002,0.0
subsidy*careOthersMean,0.03297251643753282,0.0
careFarmerMean*careOthersMean,0.029694400861513183,1.784447604411424e-293
subsidy*trustIndexMean,-0.029566815102540764,3.0001866194734334e-291
memory,-0.017668186128116683,2.2681040537494398e-105
careOthersMean*initialExperience,-0.01734988792323967,1.237514456149433e-101
subsidy*memory,0.016707187690013146,1.7975281590350394e-94
farmSize,-0.014361367180287084,4.0598326734601496e-41
trustIndexMean*initialExperience,0.014359884257106633,3.4213007587476134e-70
farmSize*careFarmerMean,-0.014304744935674574,1.9445651158129767e-58
trustIndexMean,-0.013910683720762665,5.243866695232988e-66
carePatchMean*nchPercent,-0.013558441401547446,8.941636936435517e-63
farmSize*carePatchMean,0.012963918652763244,2.1513382142765708e-48
farmSize*subsidy,-0.012812350912732536,1.9612026222198627e-47
careOthersMean*nchPercent,0.01077931657062684,2.475207439570851e-40
trustIndexMean*carePatchMean,0.008759086506557283,3.2104850092362935e-27
trustIndexMean*careFarmerMean,-0.008704225399766126,6.862161265392184e-27
subsidy*giniCoeff,-0.007657045385331644,5.333562585019985e-18
carePatchMean*memory,-0.00754811663659516,1.2211361984788531e-20
farmSize*nchPercent,0.007482328656400619,3.717183814246116e-17
giniCoeff*careFarmerMean,-0.007313339766514548,1.756650200849799e-16
initialExperience*memory,-0.006151938636578997,3.202328944222798e-14
farmSize*initialExperience,0.005371585093655198,1.4553004736091544e-09
careFarmerMean*nchPercent,0.0039217920349015065,1.3102520938015474e-06
giniCoeff,-0.0039096983411462775,1.5617660041751492e-05
nchPercent*memory,0.003366304176469734,3.276276900842691e-05
giniCoeff*initialExperience,0.0033156200095967527,0.000187773608238864
farmSize*careOthersMean,-0.0032908028628227622,0.00020827400516599019
careOthersMean*memory,0.003159174195406397,9.735923339866461e-05
carePatchMean*careOthersMean,0.003017231370782891,0.00019681988349830686
trustIndexMean*memory,-0.002450334398152929,0.0024995144482652405
trustIndexMean*careOthersMean,-0.0021197744599758487,0.008932125059425781
trustIndexMean*nchPercent,0.002067888300850727,0.010728763977156993
careFarmerMean*memory,0.0019457715963940156,0.016364914393797676
farmSize*giniCoeff,-0.001824687652018765,0.08737090220302494
giniCoeff*trustIndexMean,-0.0017892662669309895,0.043696088061213424
carePatchMean*careFarmerMean,-0.0016351686299906874,0.043623966890147935
