,Coefficient,P-value
farmSize,-0.5579607011122916,0.0
farmSize*giniCoeff,-0.4327500453293729,0.0
giniCoeff,0.3906395344358421,0.0
carePatchMean,-0.09525402676863541,0.0
initialExperience*nchPercent,-0.09161285336588945,0.0
nchPercent,0.09104193599333073,0.0
subsidy*initialExperience,-0.07653441746553831,0.0
careOthersMean,0.0624594631236752,0.0
subsidy*giniCoeff,0.05201540407012709,0.0
subsidy*carePatchMean,0.04905175684221548,0.0
carePatchMean*initialExperience,0.03541728788555924,4.596277185829378e-253
farmSize*nchPercent,-0.03431240977455759,3.0615161673445255e-198
giniCoeff*carePatchMean,-0.02709870483641924,5.200871905398578e-125
trustIndexMean*initialExperience,-0.0245498840418042,1.0173987357069404e-122
initialExperience,-0.02423062401290842,1.0558376061744754e-119
farmSize*carePatchMean,0.02382511514212594,5.083992380176653e-97
farmSize*trustIndexMean,-0.022790666481462676,9.348556145169879e-89
careOthersMean*initialExperience,-0.02199698982684121,5.687718408537534e-99
careFarmerMean*initialExperience,-0.01999084445057848,4.995585800279462e-82
farmSize*subsidy,-0.01958540229191206,2.338917118349636e-66
giniCoeff*nchPercent,0.019044051434528482,1.6416357566482832e-62
carePatchMean*careFarmerMean,0.016110606520599313,5.792571092267763e-54
subsidy*careFarmerMean,-0.01579007462065803,6.014767137468415e-52
farmSize*initialExperience,-0.014240786097822224,9.787840296741746e-36
careFarmerMean*careOthersMean,-0.013737982752396674,1.028145660696739e-39
trustIndexMean*nchPercent,-0.012158293092379296,1.7683714687876826e-31
carePatchMean*careOthersMean,-0.01128536769974984,2.343229577576557e-27
farmSize*careOthersMean,-0.011173545227258415,1.1440989740595878e-22
subsidy*trustIndexMean,0.010955305309637162,6.841618544675531e-26
memory,0.01048942750667719,7.25566072301207e-24
carePatchMean*nchPercent,-0.009820433023032553,4.2640764947933546e-21
subsidy*nchPercent,0.009450523890079464,1.1188005442605706e-19
careOthersMean*nchPercent,0.008401920724507086,7.382293263272174e-16
giniCoeff*careOthersMean,0.00836963756449258,2.131661831704748e-13
careFarmerMean*nchPercent,0.007754926263864715,9.747479356846747e-14
subsidy*careOthersMean,-0.007302367010338108,2.319472682536007e-12
giniCoeff*trustIndexMean,0.006332007346532054,2.7894407199482257e-08
trustIndexMean,-0.006092133054122707,4.954332417707057e-09
subsidy,0.004340266157007444,3.054399174647786e-05
trustIndexMean*carePatchMean,-0.0039544105581345934,0.00014677963399002117
careFarmerMean,0.003799835179037833,0.0002637161216990026
initialExperience*memory,0.0036070373012900836,0.000534456511395756
giniCoeff*careFarmerMean,-0.003022424317080445,0.008069305458455169
giniCoeff*memory,0.002875245999743291,0.011719132605203129
farmSize*memory,0.0025357975046832273,0.026184310263453837
nchPercent*memory,-0.002467652168906705,0.017830790909472993
subsidy*memory,-0.002397203423339914,0.021294424000604134
careFarmerMean*memory,-0.0018963644135036434,0.0686662632962986
trustIndexMean*memory,0.0018529987514082813,0.07522373621380322
