,Coefficient,P-value
subsidy,0.6727350095559588,0.0
initialExperience,0.28657019769985376,0.0
nchPercent,0.2644397129664189,0.0
initialExperience*nchPercent,-0.26439376505950707,0.0
subsidy*nchPercent,0.14022146564744253,0.0
carePatchMean,-0.11835579389855475,0.0
farmSize,0.08841835879696508,0.0
subsidy*carePatchMean,0.0795470560781004,0.0
trustIndexMean,0.07160237670795375,0.0
careFarmerMean,0.06416719780249634,0.0
subsidy*careOthersMean,-0.03419813813924051,0.0
giniCoeff,0.026848554556487787,7.914413193801482e-246
trustIndexMean*initialExperience,-0.02597588238336341,2.0337859100104724e-286
careOthersMean,0.02502728754018791,3.680054342980367e-266
farmSize*subsidy,-0.021952043690135863,2.3870482775062574e-172
subsidy*initialExperience,0.021625366940888874,1.6229609020357533e-199
subsidy*trustIndexMean,0.020434125452118028,2.3481457082263606e-178
careFarmerMean*nchPercent,0.017845918749130642,2.147623236812236e-136
careFarmerMean*careOthersMean,-0.01581507842762897,1.4207870142080113e-107
subsidy*careFarmerMean,-0.01571510149080834,2.392105516458005e-106
farmSize*giniCoeff,0.014861091973847267,1.0694918476180883e-55
careOthersMean*nchPercent,0.014655639420566637,1.2962030432790197e-92
carePatchMean*nchPercent,-0.0143518776698391,6.642637448381605e-89
memory,-0.014151014228082988,1.4160534280791905e-86
farmSize*trustIndexMean,0.012413508231310108,3.5752212076503992e-56
carePatchMean*careFarmerMean,-0.01086742191877877,8.416962870121924e-52
trustIndexMean*nchPercent,0.010202638753414948,7.3191872012331e-46
giniCoeff*initialExperience,-0.009529440142421776,8.005067589301946e-34
farmSize*carePatchMean,0.008112905110452973,5.030881373618252e-25
subsidy*memory,0.007860288581473748,6.064425150130495e-28
careOthersMean*initialExperience,-0.006543122996717025,7.655329451196421e-20
careFarmerMean*initialExperience,-0.005686872451196043,2.3333991181150387e-15
carePatchMean*memory,-0.004593390192049939,1.532195371579634e-10
carePatchMean*initialExperience,-0.004572699915594496,1.881291306585161e-10
giniCoeff*carePatchMean,0.004451205065642188,1.4185683765032995e-08
farmSize*nchPercent,-0.004232129162819167,7.457888616379189e-08
trustIndexMean*carePatchMean,-0.004184791516668853,5.5033207839917285e-09
farmSize*careOthersMean,-0.0031568521695922863,5.8659228744620795e-05
trustIndexMean*careOthersMean,0.002966260016624773,3.59422325544265e-05
careOthersMean*memory,0.0028012067876448097,9.516117891167029e-05
initialExperience*memory,-0.0023944167958318864,0.000848763132711362
giniCoeff*memory,-0.0022143600125756075,0.00484137429240964
giniCoeff*careOthersMean,-0.0018870201548943186,0.016303269853785194
farmSize*memory,-0.0018856101698113059,0.016408036486060915
trustIndexMean*careFarmerMean,0.0014342533717554814,0.04570215598891754
carePatchMean*careOthersMean,0.0013558403452009987,0.05882498865691014
subsidy*giniCoeff,-0.0013248810196261976,0.09109984269891595
careFarmerMean*memory,0.0013170401596300898,0.06647509363598401
