,Coefficient,P-value
subsidy,0.7469245786472398,0.0
subsidy*carePatchMean,0.20909185540659775,0.0
initialExperience,-0.15324404697436791,0.0
carePatchMean,-0.13990326574085593,0.0
subsidy*initialExperience,0.12351118769457173,0.0
subsidy*careOthersMean,-0.08188410363312097,0.0
nchPercent,0.07966283205850284,0.0
initialExperience*nchPercent,-0.07876112353819678,0.0
subsidy*careFarmerMean,-0.07018238849558756,0.0
careFarmerMean,0.050472787552763285,0.0
subsidy*nchPercent,-0.043950571407155345,0.0
farmSize*subsidy,-0.04346355222511289,0.0
careOthersMean,0.04108223550573177,0.0
farmSize,0.03524048977183679,3.430648241399839e-265
carePatchMean*nchPercent,-0.03303907105487881,0.0
careOthersMean*nchPercent,0.027200973761887706,9.125423095285753e-275
farmSize*careFarmerMean,0.017821045073323515,8.421322140476501e-100
careFarmerMean*nchPercent,0.01724521990426564,8.867104890971905e-112
carePatchMean*careOthersMean,-0.016671048949436974,1.2382197662808155e-104
careOthersMean*initialExperience,-0.01661824951578413,5.573408145696195e-104
farmSize*carePatchMean,-0.015091696065195587,3.132494351366671e-72
subsidy*giniCoeff,-0.011330811505613256,1.307344090317096e-41
carePatchMean*initialExperience,0.011214597047056268,2.383614976904507e-48
careFarmerMean*careOthersMean,-0.010578410215798948,3.165343894300075e-43
careFarmerMean*initialExperience,-0.010233482309491112,1.5094113289446186e-40
farmSize*giniCoeff,0.009685537376477387,9.361699135860734e-22
farmSize*nchPercent,0.007237422411797542,7.697758862271845e-18
giniCoeff*careFarmerMean,0.0070089778950173254,7.501930368708891e-17
carePatchMean*careFarmerMean,-0.005766543044807188,5.667054243992755e-14
trustIndexMean*initialExperience,-0.004307060285971638,2.0013289635035538e-08
giniCoeff,0.004298799846195812,5.252649990674336e-07
initialExperience*memory,-0.0035750372271965143,3.18030739968167e-06
subsidy*trustIndexMean,-0.003095901073797074,5.4281523597866634e-05
giniCoeff*initialExperience,-0.0027694091746841795,0.000983831200899283
trustIndexMean*careFarmerMean,0.002531432881796178,0.0009728585450569537
memory,-0.0023405985786873903,0.0022790325725178537
farmSize*trustIndexMean,0.0022890331965737987,0.006457174737341793
farmSize*initialExperience,-0.0022739189025153994,0.006833299454686774
farmSize*careOthersMean,0.0019985819958186417,0.017354030187103568
giniCoeff*carePatchMean,-0.0019404152633540252,0.020770072950600536
giniCoeff*nchPercent,0.0018961000174169196,0.02410341713973213
nchPercent*memory,-0.0015832234251938766,0.03908672404858231
subsidy*memory,-0.0014119460834526995,0.06561296966926197
trustIndexMean*nchPercent,-0.0013696647260624446,0.07426428395843146
trustIndexMean*memory,0.001294022936684379,0.09170503416992788
