,Coefficient,P-value
initialExperience,0.4014089189309316,0.0
initialExperience*nchPercent,-0.30374272637403393,0.0
nchPercent,0.2991110665633618,0.0
subsidy*nchPercent,0.18947436935002065,0.0
carePatchMean,-0.14286173926969337,0.0
subsidy,-0.12485439269607732,0.0
farmSize,0.10723844367728408,0.0
trustIndexMean,0.09116626237791611,0.0
careFarmerMean,0.07641509595906062,0.0
subsidy*initialExperience,-0.038668729197961174,6.410144001888961e-303
careOthersMean,0.037544409892486585,2.0290326289720496e-285
giniCoeff,0.03456001896030312,1.0516778471330047e-194
trustIndexMean*initialExperience,-0.029097465785333135,2.6825243308032293e-172
subsidy*trustIndexMean,0.028617622111838315,6.098952164241785e-167
careFarmerMean*careOthersMean,-0.022909504914281613,1.2409137557412447e-107
subsidy*careFarmerMean,0.016814026292775577,6.502492801460701e-59
memory,-0.015827821479154305,2.1440436750119986e-52
farmSize*giniCoeff,0.015813964149218464,7.123090307913768e-31
farmSize*carePatchMean,0.015119156292639229,2.450486136249902e-40
trustIndexMean*nchPercent,0.013985076949013362,2.8551185699428596e-41
farmSize*trustIndexMean,0.013732082036304532,1.6558660860981578e-33
subsidy*memory,0.010818090743487163,2.131887261270098e-25
farmSize*nchPercent,-0.010741057263694016,4.1827529304377424e-21
giniCoeff*initialExperience,-0.010600795518494487,1.2500238105569896e-20
careOthersMean*initialExperience,-0.009952454706281831,1.001621753674014e-21
carePatchMean*careFarmerMean,-0.009839311926095455,2.8524066199185887e-21
careFarmerMean*nchPercent,0.00911759056310263,1.758528854824682e-18
carePatchMean*nchPercent,0.008943097631050827,7.764368983456869e-18
carePatchMean*careOthersMean,0.007909522640982223,2.7154865553847583e-14
subsidy*carePatchMean,0.007401645796467523,1.0390525546395835e-12
giniCoeff*carePatchMean,0.00659245725295632,6.637980042079298e-09
farmSize*subsidy,-0.006321869181229127,2.5861089018036936e-08
subsidy*careOthersMean,0.006265799649537144,1.6229853183260584e-09
farmSize*careFarmerMean,-0.005971249119243289,1.5437380029590336e-07
carePatchMean*memory,-0.005576525991601924,8.004234665038396e-08
careFarmerMean*initialExperience,-0.005342593585557149,2.756807736507701e-07
trustIndexMean*carePatchMean,-0.005338336053331058,2.798992922073676e-07
farmSize*careOthersMean,-0.005294589548951981,3.263675973623028e-06
subsidy*giniCoeff,0.0038790777794169102,0.0006355083888210929
careOthersMean*memory,0.0034866316134297953,0.0007958503946900402
carePatchMean*initialExperience,-0.0033895047552572216,0.0011106459308635936
farmSize*memory,-0.003066131072561134,0.00704999592970853
giniCoeff*careFarmerMean,-0.0028991733374686443,0.010871742547681487
giniCoeff*memory,-0.0027751184233063674,0.01476292564969815
trustIndexMean*careOthersMean,0.002447913322784888,0.018536635453700052
giniCoeff*careOthersMean,-0.0023964381472104668,0.035166024739322205
