,Coefficient,P-value
nchPercent,0.42011616240316974,0.0
initialExperience*nchPercent,-0.41139356388193155,0.0
subsidy*initialExperience,0.21300695403510356,0.0
subsidy*nchPercent,0.2075449735689752,0.0
subsidy,0.16970932221989404,0.0
carePatchMean,-0.11981294922401142,0.0
subsidy*carePatchMean,0.10037515013917578,0.0
careFarmerMean,0.06303498577872477,0.0
initialExperience,0.059127652461222174,0.0
carePatchMean*initialExperience,-0.056002651912204146,0.0
subsidy*careFarmerMean,-0.041059131950150984,0.0
careOthersMean,0.029793483906932754,2.5617956496360047e-202
farmSize*subsidy,0.025182132213508946,6.216529051900408e-122
careFarmerMean*initialExperience,0.0247159870755139,7.676734696964556e-140
subsidy*trustIndexMean,0.02462093556101455,5.655978555808265e-139
subsidy*careOthersMean,-0.015218947773037093,2.749170125578853e-54
careFarmerMean*careOthersMean,-0.015149127873462861,9.305269903152237e-54
subsidy*memory,-0.014194223843616008,1.8267476439891323e-47
farmSize*initialExperience,-0.013478216941647445,4.7156443681846473e-36
farmSize*carePatchMean,-0.013149959782477873,1.7227199011212813e-34
farmSize,0.012444387940132591,7.095719518103101e-22
trustIndexMean*carePatchMean,-0.010702668749744546,1.0737630829097847e-27
memory,0.010184344581007983,3.006337873313093e-25
farmSize*careFarmerMean,0.009392692603861934,2.296011012553694e-18
carePatchMean*memory,0.009287059790462937,2.896491532245984e-21
trustIndexMean*nchPercent,-0.008546891822632324,3.0395806680174264e-18
trustIndexMean*careFarmerMean,0.007892475557806203,8.891212519121946e-16
carePatchMean*careFarmerMean,0.007869981840558775,1.0499538767622793e-15
subsidy*giniCoeff,-0.007459597812525295,3.467040060665531e-12
giniCoeff*carePatchMean,0.006338523958689206,3.5017441899824135e-09
careFarmerMean*nchPercent,0.0057554977678668335,4.4983790067430366e-09
farmSize*careOthersMean,0.005327082890222242,7.08990607767061e-07
nchPercent*memory,-0.005105174798085956,1.9646907046144735e-07
initialExperience*memory,0.004904612252094176,5.790362649066644e-07
giniCoeff,0.004609439875231587,2.5917187795363806e-05
trustIndexMean*careOthersMean,0.004503620598110401,4.468925032478368e-06
trustIndexMean,0.004395063638302684,7.501752455443201e-06
farmSize*giniCoeff,-0.004195845922738615,0.0011672465993827496
careOthersMean*memory,-0.0030511964903576377,0.001877854093301466
careOthersMean*initialExperience,0.0029805446801369016,0.0023836780579998633
farmSize*memory,-0.002826922495957394,0.008509575823946515
trustIndexMean*initialExperience,0.0025532507286740143,0.009280586927614888
farmSize*nchPercent,-0.002450001086706756,0.02274276427201279
giniCoeff*careFarmerMean,0.002297042599371599,0.03258455441482638
careFarmerMean*memory,-0.001705626082934645,0.08217872523628744
carePatchMean*careOthersMean,-0.0017005381037047693,0.08305914415422622
