,Coefficient,P-value
initialExperience*nchPercent,-0.2821564225545032,0.0
carePatchMean,-0.2707498881975813,0.0
subsidy*initialExperience,0.1832808438312351,0.0
careFarmerMean,0.1825634853589096,0.0
subsidy*carePatchMean,0.1768732890879581,0.0
initialExperience,0.12443526745994445,0.0
nchPercent,0.11692001382106348,0.0
subsidy*careFarmerMean,-0.10582990118587121,0.0
carePatchMean*initialExperience,-0.10294778940309746,0.0
subsidy*nchPercent,0.10073169496343165,0.0
trustIndexMean,0.06526613128913628,0.0
subsidy,0.06481977939691189,0.0
carePatchMean*nchPercent,0.04090797344253158,2.425661219531286e-282
farmSize,0.03526350687210232,7.495928956488046e-122
careOthersMean,0.03274401021033636,8.242520263449653e-182
careFarmerMean*careOthersMean,-0.031559345297770436,4.8596421952405604e-169
careFarmerMean*initialExperience,0.031187100559818826,4.7255089933892765e-165
farmSize*subsidy,0.025169055371395792,5.07206133347862e-91
careOthersMean*nchPercent,-0.0233463922765121,2.1773163882388083e-93
trustIndexMean*initialExperience,-0.022596559186722882,1.2685775805615998e-87
subsidy*trustIndexMean,0.021863158106667415,2.9799082074698425e-82
carePatchMean*careFarmerMean,0.02092203860188995,1.9653792184250591e-75
memory,0.020120870155340427,6.150923621704605e-70
subsidy*memory,-0.019198657390101674,7.20084562469053e-64
farmSize*nchPercent,-0.017438562819499265,2.253501062069413e-44
farmSize*carePatchMean,0.017225305770324262,1.6929895393662667e-43
giniCoeff,0.013549596928067321,1.588556220542941e-26
careOthersMean*initialExperience,0.01346001737524375,2.9198728388585686e-32
subsidy*giniCoeff,0.012425803033064849,1.6917946845124387e-23
careFarmerMean*nchPercent,-0.011668077516101851,1.20270337709455e-24
carePatchMean*careOthersMean,0.011436561058318412,9.449417706221905e-24
farmSize*initialExperience,0.00979022716988379,4.164432671987139e-15
trustIndexMean*carePatchMean,-0.007532911599367516,3.659594359006779e-11
farmSize*trustIndexMean,-0.007302691412187006,4.710258320906578e-09
subsidy*careOthersMean,0.007027712136664397,6.561633955744491e-10
farmSize*careFarmerMean,-0.006851573646991603,3.866352163146209e-08
carePatchMean*memory,0.0068303883642562985,1.953210137976284e-09
giniCoeff*initialExperience,-0.0067415534372944706,6.411534585179127e-08
trustIndexMean*careFarmerMean,0.006332118638114642,2.6780000431594563e-08
initialExperience*memory,0.006087211144039217,8.934232960796251e-08
giniCoeff*carePatchMean,0.006048040961961326,1.1868440106517696e-06
nchPercent*memory,-0.0058210657681109475,3.1613259922606146e-07
farmSize*memory,-0.005298888394714131,2.125309688533747e-05
giniCoeff*trustIndexMean,-0.0043913029710134065,0.00042427192958509905
giniCoeff*nchPercent,-0.0038454742668640185,0.0020461182208005393
trustIndexMean*careOthersMean,0.0033272455606611047,0.0034776384995668964
careOthersMean*memory,-0.0032816246843705116,0.003948339600204371
giniCoeff*careFarmerMean,0.0030797582350776953,0.013512208268663933
trustIndexMean*nchPercent,0.0030644192187876994,0.007102055328666302
giniCoeff*memory,-0.0028118468411410503,0.02410749455035405
